name,status,snapshot_date,source,eligible_games,qualifying_spend,overlay_per_qualifying_spend,known_prize_pool,competition_count_known,super_keno_ev_classification,notes
Current Azerlotereya campaign listing,current_dynamic_incomplete,2026-08-26,https://www.azerlotereya.com/kampaniyalar,unknown,NA,NA,unknown,NA,none,"Fresh 2026-08-26 crawl no longer exposes the earlier literal 'Cari kampaniya mövcud deyil' sentence; it shows current/past/history navigation but no rendered current cards in the text snapshot. This weakens the old negative-index signal but does not prove any campaign active."
10 oyna 10 qazan,official_status_conflict_conditional_positive,2026-08-26,https://www.azerlotereya.com/kampaniya/10oyna-10qazan,"lottery/ePoz-Qazan/digital",10 AZN,10 AZN bonus,10 AZN bonus,NA,"conditional_positive_if_operational","Dedicated first-party page still says through 31 Aug 23:59, includes Lotereya, first 10000 users, and no turnover requirement, while page/search presentation still labels it past and earlier FAQ gave 14 Apr-31 Jul. Fresh current-campaign index no longer exposes an explicit 'no current campaign' sentence, so that negative signal is weakened but not reversed. If operational: play 10 paid + 10 bonus once at 1x Super Keno => expected personal-capital ROI 1.183614067, +1.83614067 AZN EV on 10 AZN personal outlay. Execution still requires account UI eligibility/progress, current *2080 confirmation, or newly dated official current confirmation."
Suretli Sans,historical_inactive,2026-08-26,https://www.azerlotereya.com/suretli-sans,all online-account games,5 AZN,1 chance code,"192000 AZN cash + 2 Toyota Corolla Hybrid",unknown,"indeterminate","Historical 2025 overlay. Published qualification is via Azerlotereya.com/Misli.az account play; physical Azərpoçt purchases are not named as a qualifying source. Weekly cash structure 10000 + 2x2000 + 10x1000 = 24000 AZN. Winner-number ranges are not used as denominator because the global numbering scheme is unproven."
Unibank cashback,current_excluded,2026-08-26,https://unibank.az/cards/cashback,lottery excluded,NA,0,0,NA,below_threshold,"Cashback terms exclude gambling/betting/lottery transactions."
ABB personalized cashback,current_excluded,2026-08-26,https://abb-bank.az/ozel-kampaniya-2,lottery/gambling excluded,NA,0,0,NA,below_threshold,"Published exclusions explicitly include gambling and lottery operations and MCC 7995."
ABB Qollar qazandirir rewards,current_excluded,2026-08-26,https://abb-bank.az/kampaniyalar/qollar-qazandirir-kampaniyasi,lottery/gambling excluded,NA,0,prize ladder,NA,below_threshold,"Merchant names containing Loto/Casino/Gambling and MCC 7800/7801/7802/7995/9754 are excluded, so Super Keno payment does not stack into this reward mechanic under published terms."
Birbank 150th anniversary lottery,current_excluded,2026-08-26,https://birbank.az/landings/150-illiyimize-ozel-mohtesem-lotereya,lottery/gambling excluded,NA,0,campaign prizes,NA,below_threshold,"Published ticket-earning exclusions include MCC 7800, 7801, 7802 and 7995."
Sans Karvani 2,event_marketing,2026-08-26,https://www.azerlotereya.com/xeberler/sans-karvani-2-mohtasam-aylanca-geri-qayidir-1910,event-specific,unknown,unknown,unknown,unknown,"not_quantifiable","Public page mentions gifts and games at regional events but no defensible ticket-linked EV mechanics/prize probability."
Suretle Qazan tournament,historical_recent_ineligible_for_super_keno,2026-08-26,https://www.azerlotereya.com/kampaniyalar/suretli-qazan,"52 tagged digital/ePoz games; not Super Keno",NA,leaderboard prizes,unknown,leaderboard max display 500,"not_super_keno_modifier","Tournament ran 7-14 Aug 2026 and was not a Super-Keno qualifying overlay; retained as evidence that short current-period leaderboard promos exist and should be screened for eligible-game scope."
OBA receipt-lottery mechanics,current_published_excluded,2026-08-26,https://oba.az/lotereyalarimiz/qonsuda-2-qat-bayram-lotereyasi/,chance-game purchases excluded,NA,0,campaign-specific,NA,below_threshold,"Published OBA lottery terms explicitly exclude şans oyunlarının alışı; a second OBA receipt-lottery page also excludes chance games from qualifying spend. Reopen only if a future campaign materially changes this language."
Araz standard cashback,current_excluded,2026-08-26,https://www.arazmarket.az/az/araz-app,winning/chance games excluded,NA,0,0,NA,below_threshold,"Araz app rules explicitly say cashback is not earned on uduşlu oyunlar. Araz separately sells Azerlotereya Poz-Qazan tickets in 360+ stores, so this is a real retail-channel exclusion rather than a theoretical merchant mismatch."
Araz Ucusa hazir ol receipt lottery,historical_inactive_stackability_unverified,2026-08-26,https://arazmarket.az/az/campaigns/arazda-ucusa-hazir-ol-lotereyasi-21,receipt spend; Super Keno eligibility unverified,20 AZN,1 chance,"10 x 5000 AZN travel vouchers = 50000 AZN face value",unknown,"historical_possible_stackability_not_actionable","Campaign ran 4 Jul-4 Aug 2026; published exclusions mention tobacco/alcohol but not lottery/chance games. This differs from Araz cashback exclusions. If a future materially identical campaign explicitly admits 20 AZN Super Keno spend, combined break-even with same 50000 AZN equal-entry prize face value requires roughly <=6124 total qualifying entries before voucher discounting/tax/friction."
Azerpost physical Super Keno distribution,current_neutral_channel,2026-08-26,https://www.azerlotereya.com/satis-menteqeleri,Super Keno sold physically,NA,0,0,NA,neutral,"Official sales-point selector and current Super Keno news confirm Azərpoçt branches as a physical sales channel. No current Azərpoçt-specific cashback/receipt-lottery/free-ticket subsidy was found; availability alone does not change EV."
Misli RadioArena 10 AZN promokod,current_terms_unresolved_sports_context,2026-08-26,https://t.me/s/misliaz?q=%23Promokod,"unknown; official post tagged #Futbol",unknown,10 AZN promo code,10 AZN per awarded code,unknown,"conditional_positive_if_super_keno_eligible","Phase 18Q generic first-party promo/help search is surface-exhausted: public /komek-webview/bonus and /kampaniyalar are JS shells and no indexed first-party generic promo-code rule resolves eligible product, wagering, withdrawal, expiry or award count. Keep unresolved; do not assume cross-product use. If usable once on 1x Super Keno with withdrawable winnings, expected after-tax cash is 5.918070335 AZN per awarded code."
Azerlotereya promo-code infrastructure,current_infrastructure_only,2026-08-26,https://azerlotereya.com/,platform account menu,NA,unknown,unknown,NA,"not_a_modifier_by_itself","Current logged-in/public menu exposes a Promokod section, proving lottery-platform promo-code infrastructure exists. This does not prove any specific Misli code is cross-platform or Super-Keno eligible."
Misli Oley Oley,historical_lottery_eligible_overlay_denominator_unresolved,2026-08-26,https://www.misli.az/kampaniyalar/oley-oley,"sports; Virtual Idman; ePoz-Qazan; Lotereya",5 AZN,"2 chance entries for non-sports incl Lotereya","draw-specific: 3 iPhone 17 Pro + 5 PS5 + 50x200 AZN bonus; car only selected draws",unknown,"historical_indeterminate_not_actionable","Fresh 2026-08-26 status correction: second/final Changan was already awarded and current feed no longer presents Oley Oley as an executable join window. Historical economics retained: 5 AZN 1x Super Keno base expected cash 2.9590351675, shortfall 2.0409648325, required overlay EV 1.02048241625 per entry; conservative historical car-draw threshold ~39587 entries, non-car ~10997. Do not stake based on this campaign now."
Misli DÇ-2026 Fantasy round bonuses,historical_free_entry_bonus_product_scope_unresolved,2026-08-26,https://t.me/s/misliaz/4844,"bonus product scope not published",0 AZN paid qualifying spend,"top-5 each round: 50/40/30/20/10 AZN bonus","150 AZN face-value bonus per published round",unknown,"historical_zero_cost_pattern_not_actionable","Official Misli posts show entry via free FIFA Fantasy registration + 15-player team + joining Misli_az league; winners send Misli member number and receive bonus. World Cup campaign is finished by 2026-08-26 and public terms do not prove Lotereya/Super-Keno usability or withdrawal rules. Retained as evidence for a new modifier class: external zero-paid-spend competition -> Misli bonus. If future identical bonus is explicitly one-wager Super-Keno eligible, 10/20/30/40/50 AZN face values map to expected 5.9181/11.8361/17.7542/23.6723/29.5904 AZN cash before bonus-specific restrictions."
